,drug,disease,label
0,16.0,223.0,1.0
1,553.0,108.0,1.0
2,43.0,142.0,1.0
3,574.0,69.0,1.0
4,0.0,91.0,1.0
5,328.0,163.0,1.0
6,221.0,66.0,1.0
7,269.0,86.0,1.0
8,169.0,64.0,1.0
9,280.0,19.0,1.0
10,98.0,73.0,1.0
11,229.0,246.0,1.0
12,404.0,222.0,1.0
13,226.0,111.0,1.0
14,78.0,3.0,1.0
15,484.0,14.0,1.0
16,291.0,107.0,1.0
17,35.0,277.0,1.0
18,19.0,187.0,1.0
19,383.0,27.0,1.0
20,67.0,241.0,1.0
21,270.0,177.0,1.0
22,232.0,312.0,1.0
23,441.0,265.0,1.0
24,2.0,42.0,1.0
25,132.0,184.0,1.0
26,537.0,95.0,1.0
27,394.0,230.0,1.0
28,517.0,174.0,1.0
29,164.0,49.0,1.0
30,387.0,272.0,1.0
31,289.0,218.0,1.0
32,331.0,102.0,1.0
33,231.0,86.0,1.0
34,424.0,153.0,1.0
35,225.0,241.0,1.0
36,226.0,135.0,1.0
37,444.0,23.0,1.0
38,450.0,79.0,1.0
39,427.0,162.0,1.0
40,430.0,140.0,1.0
41,334.0,6.0,1.0
42,302.0,310.0,1.0
43,382.0,35.0,1.0
44,99.0,118.0,1.0
45,529.0,269.0,1.0
46,528.0,232.0,1.0
47,398.0,19.0,1.0
48,162.0,162.0,1.0
49,6.0,211.0,1.0
50,293.0,86.0,1.0
51,235.0,312.0,1.0
52,28.0,162.0,1.0
53,424.0,222.0,1.0
54,541.0,224.0,1.0
55,414.0,166.0,1.0
56,415.0,181.0,1.0
57,472.0,109.0,1.0
58,362.0,62.0,1.0
59,556.0,66.0,1.0
60,532.0,23.0,1.0
61,455.0,34.0,1.0
62,147.0,210.0,1.0
63,171.0,261.0,1.0
64,146.0,130.0,1.0
65,127.0,272.0,1.0
66,333.0,308.0,1.0
67,423.0,302.0,1.0
68,408.0,108.0,1.0
69,312.0,119.0,1.0
70,502.0,256.0,1.0
71,213.0,82.0,1.0
72,228.0,241.0,1.0
73,68.0,17.0,1.0
74,61.0,119.0,1.0
75,83.0,69.0,1.0
76,103.0,66.0,1.0
77,80.0,109.0,1.0
78,10.0,86.0,1.0
79,514.0,278.0,1.0
80,463.0,255.0,1.0
81,144.0,288.0,1.0
82,508.0,175.0,1.0
83,424.0,235.0,1.0
84,143.0,277.0,1.0
85,156.0,147.0,1.0
86,351.0,192.0,1.0
87,186.0,61.0,1.0
88,168.0,108.0,1.0
89,146.0,312.0,1.0
90,333.0,234.0,1.0
91,214.0,241.0,1.0
92,379.0,86.0,1.0
93,141.0,162.0,1.0
94,502.0,179.0,1.0
95,84.0,233.0,1.0
96,579.0,212.0,1.0
97,16.0,200.0,1.0
98,22.0,232.0,1.0
99,518.0,118.0,1.0
100,88.0,151.0,1.0
101,232.0,60.0,1.0
102,47.0,264.0,1.0
103,329.0,128.0,1.0
104,502.0,195.0,1.0
105,557.0,177.0,1.0
106,544.0,98.0,1.0
107,41.0,311.0,1.0
108,450.0,305.0,1.0
109,194.0,66.0,1.0
110,275.0,312.0,1.0
111,112.0,299.0,1.0
112,67.0,193.0,1.0
113,19.0,31.0,1.0
114,375.0,264.0,1.0
115,423.0,73.0,1.0
116,312.0,31.0,1.0
117,531.0,97.0,1.0
118,329.0,175.0,1.0
119,488.0,162.0,1.0
120,365.0,156.0,1.0
121,370.0,174.0,1.0
122,81.0,19.0,1.0
123,159.0,290.0,1.0
